chromosome,genomic_accession,start,end,strand,class,locus_tag,,name,GeneID
chr3,NC_000003.12,90201120,90242064,-,pseudogene,,PROS2P,protein S (beta) pseudogene,5628
chr3,NC_000003.12,90261414,90261708,-,pseudogene,,HSPE1P19,heat shock protein family E (Hsp10) member 1 pseudogene 19,106481675
chr3,NC_000003.12,90426235,90426356,+,pseudogene,,LOC124909499,uncharacterized LOC124909499,124909499
chr3,NC_000003.12,91374236,91513775,-,transcribed_pseudogene,,LOC101930420,DNA primase large subunit-like,101930420
chr3,NC_000003.12,93843764,93843862,+,pseudogene,,RNU6-488P,"RNA, U6 small nuclear 488, pseudogene",106479782
chr3,NC_000003.12,93873051,93973896,-,protein_coding,,PROS1,protein S,5627
chr3,NC_000003.12,93931360,93931845,-,pseudogene,,HSPE1P17,heat shock protein family E (Hsp10) member 1 pseudogene 17,112352682
chr3,NC_000003.12,93977029,93977130,+,pseudogene,,RNU6-511P,"RNA, U6 small nuclear 511, pseudogene",106479793
chr3,NC_000003.12,93980155,94055678,+,protein_coding,,ARL13B,ADP ribosylation factor like GTPase 13B,200894
chr3,NC_000003.12,93987946,93989062,-,pseudogene,,HMGN1P7,high mobility group nucleosome binding domain 1 pseudogene 7,100129555
chr3,NC_000003.12,94014365,94028597,-,protein_coding,,STX19,syntaxin 19,415117
chr3,NC_000003.12,94057922,94063320,-,protein_coding,,DHFR2,dihydrofolate reductase 2,200895
chr3,NC_000003.12,94063061,94131832,+,protein_coding,,NSUN3,NOP2/Sun RNA methyltransferase 3,63899
chr3,NC_000003.12,94075711,94077237,-,pseudogene,,RBBP4P2,RBBP4 pseudogene 2,100420527
chr3,NC_000003.12,94505552,94507650,-,pseudogene,,ARMC10P1,armadillo repeat containing 10 pseudogene 1,389137
chr3,NC_000003.12,94648085,94655939,+,lncRNA,,LOC105373992,uncharacterized LOC105373992,105373992
chr3,NC_000003.12,94935599,94938285,-,pseudogene,,WDR82P1,WD repeat domain 82 pseudogene 1,728505
chr3,NC_000003.12,94938263,94991328,+,lncRNA,,LINC00879,long intergenic non-protein coding RNA 879,255025
chr3,NC_000003.12,95171909,95172404,+,pseudogene,,RPS18P6,ribosomal protein S18 pseudogene 6,100271076
chr3,NC_000003.12,95654423,95683193,-,transcribed_pseudogene,,MTHFD2P1,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase pseudogene 1",100287639
chr3,NC_000003.12,96349446,96351138,+,pseudogene,,HNRNPKP4,heterogeneous nuclear ribonucleoprotein K pseudogene 4,644063
chr3,NC_000003.12,96359964,96360039,+,miRNA,,MIR8060,microRNA 8060,102465864
chr3,NC_000003.12,96566295,96567576,+,pseudogene,,RBBP4P7,RBBP4 pseudogene 7,391556
chr3,NC_000003.12,96608820,96608917,-,pseudogene,,RNU6-1094P,"RNA, U6 small nuclear 1094, pseudogene",106480047
chr3,NC_000003.12,96617186,96618223,-,pseudogene,,MTRNR2L12,MT-RNR2 like 12 (pseudogene),100463498
chr3,NC_000003.12,96619269,96619874,+,pseudogene,,RPL18AP8,ribosomal protein L18a pseudogene 8,644082
chr3,NC_000003.12,96753162,96754594,+,pseudogene,,RCC2P5,regulator of chromosome condensation 2 pseudogene 5,100131442
chr3,NC_000003.12,96776774,96777887,+,pseudogene,,CDV3P1,CDV3 pseudogene 1,100129736
chr3,NC_000003.12,96810821,96814407,-,lncRNA,,LOC124909397,uncharacterized LOC124909397,124909397
chr3,NC_000003.12,96814594,97761532,+,protein_coding,,EPHA6,EPH receptor A6,285220
chr3,NC_000003.12,97023351,97036251,+,lncRNA,,LOC107986103,uncharacterized LOC107986103,107986103
chr3,NC_000003.12,97301069,97415083,-,lncRNA,,LOC101929278,uncharacterized LOC101929278,101929278
chr3,NC_000003.12,97481177,97481506,-,pseudogene,,TPTE2P7,TPTE2 pseudogene 7,127379748
chr3,NC_000003.12,97717399,97758217,-,lncRNA,,LOC124906256,uncharacterized LOC124906256,124906256
chr3,NC_000003.12,97764521,97801242,+,protein_coding,,ARL6,ADP ribosylation factor like GTPase 6,84100
chr3,NC_000003.12,97800732,97821776,-,lncRNA,,LOC101929298,uncharacterized LOC101929298,101929298
chr3,NC_000003.12,97822011,97944984,+,protein_coding,,CRYBG3,crystallin beta-gamma domain containing 3,131544
chr3,NC_000003.12,97836994,97873254,-,lncRNA,,LOC105373994,uncharacterized LOC105373994,105373994
chr3,NC_000003.12,97941818,97972431,-,protein_coding,,RIOX2,ribosomal oxygenase 2,84864
chr3,NC_000003.12,97972653,97975122,+,lncRNA,,LOC124909398,uncharacterized LOC124909398,124909398
chr3,NC_000003.12,97985102,98035315,-,protein_coding,,GABRR3,gamma-aminobutyric acid type A receptor subunit rho3,200959
chr3,NC_000003.12,98052893,98053818,+,pseudogene,,OR5BM1P,olfactory receptor family 5 subfamily BM member 1 pseudogene,79491
chr3,NC_000003.12,98064471,98065392,+,pseudogene,,OR5AC1,olfactory receptor family 5 subfamily AC member 1 (gene/pseudogene),81431
chr3,NC_000003.12,98087173,98088102,+,protein_coding,,OR5AC2,olfactory receptor family 5 subfamily AC member 2,81050
chr3,NC_000003.12,98104754,98105669,+,pseudogene,,OR5AC4P,olfactory receptor family 5 subfamily AC member 4 pseudogene,403271
chr3,NC_000003.12,98119273,98119975,+,pseudogene,,POU5F1P7,POU class 5 homeobox 1 pseudogene 7,100009669
chr3,NC_000003.12,98130721,98138548,+,protein_coding,,OR5H1,olfactory receptor family 5 subfamily H member 1,26341
chr3,NC_000003.12,98147479,98156614,+,protein_coding,,OR5H14,olfactory receptor family 5 subfamily H member 14,403273
chr3,NC_000003.12,98147904,98167850,-,lncRNA,,LOC105373996,uncharacterized LOC105373996,105373996
chr3,NC_000003.12,98166696,98169774,+,protein_coding,,OR5H15,olfactory receptor family 5 subfamily H member 15,403274
chr3,NC_000003.12,98184734,98188858,-,lncRNA,,LOC105373998,uncharacterized LOC105373998,105373998
chr3,NC_000003.12,98191359,98196751,+,lncRNA,,LOC105373997,uncharacterized LOC105373997,105373997
chr3,NC_000003.12,98197211,98198138,+,pseudogene,,OR5H5P,olfactory receptor family 5 subfamily H member 5 pseudogene,79297
chr3,NC_000003.12,98207423,98208341,+,pseudogene,,OR5H3P,olfactory receptor family 5 subfamily H member 3 pseudogene,79309
chr3,NC_000003.12,98222039,98222966,+,pseudogene,,OR5H4P,olfactory receptor family 5 subfamily H member 4 pseudogene,79299
chr3,NC_000003.12,98235525,98237373,-,lncRNA,,LOC101929320,uncharacterized LOC101929320,101929320
chr3,NC_000003.12,98238352,98239278,+,pseudogene,,OR5H7P,olfactory receptor family 5 subfamily H member 7 pseudogene,79291
chr3,NC_000003.12,98262717,98314682,-,lncRNA,,LOC105373999,uncharacterized LOC105373999,105373999
chr3,NC_000003.12,98264244,98265356,+,protein_coding,,OR5H6,olfactory receptor family 5 subfamily H member 6,79295
chr3,NC_000003.12,98282505,98284070,+,protein_coding,,OR5H2,olfactory receptor family 5 subfamily H member 2,79310
chr3,NC_000003.12,98311913,98312840,+,pseudogene,,OR5H8,olfactory receptor family 5 subfamily H member 8 (gene/pseudogene),79289
chr3,NC_000003.12,98353854,98354819,+,protein_coding,,OR5K4,olfactory receptor family 5 subfamily K member 4,403278
chr3,NC_000003.12,98367878,98368608,-,lncRNA,,LOC105374000,uncharacterized LOC105374000,105374000
chr3,NC_000003.12,98390666,98391631,+,protein_coding,,OR5K3,olfactory receptor family 5 subfamily K member 3,403277
chr3,NC_000003.12,98433973,98435044,+,pseudogene,,UBFD1P1,ubiquitin family domain containing 1 pseudogene 1,100130484
chr3,NC_000003.12,98463201,98472924,+,protein_coding,,OR5K1,olfactory receptor family 5 subfamily K member 1,26339
chr3,NC_000003.12,98497681,98498631,+,protein_coding,,OR5K2,olfactory receptor family 5 subfamily K member 2,402135
chr3,NC_000003.12,98515483,98522902,-,protein_coding,,CLDND1,claudin domain containing 1,56650
chr3,NC_000003.12,98525028,98525348,-,pseudogene,,RPL38P4,RPL38 pseudogene 4,100130963
chr3,NC_000003.12,98531978,98534681,+,protein_coding,,GPR15,G protein-coupled receptor 15,2838
chr3,NC_000003.12,98570488,98593611,-,protein_coding,,CPOX,coproporphyrinogen oxidase,1371
chr3,NC_000003.12,98620076,98620696,+,pseudogene,,RPL19P7,ribosomal protein L19 pseudogene 7,100131527
chr3,NC_000003.12,98657470,98661067,+,pseudogene,,WWP1P1,WW domain containing E3 ubiquitin protein ligase 1 pseudogene 1,339843
chr3,NC_000003.12,98714333,98732651,-,lncRNA,,ST3GAL6-AS1,ST3GAL6 antisense RNA 1,100874207
chr3,NC_000003.12,98732262,98795852,+,protein_coding,,ST3GAL6,"ST3 beta-galactoside alpha-2,3-sialyltransferase 6",10402
chr3,NC_000003.12,98782213,98783390,+,pseudogene,,PDLIM1P4,PDZ and LIM domain 1 pseudogene 4,100419185
chr3,NC_000003.12,98795941,98901695,-,protein_coding,,DCBLD2,"discoidin, CUB and LCCL domain containing 2",131566
chr3,NC_000003.12,98804978,98805084,-,pseudogene,,RNU6-26P,"RNA, U6 small nuclear 26, pseudogene",100873741
chr3,NC_000003.12,98872083,98872180,-,pseudogene,,LOC124906384,uncharacterized LOC124906384,124906384
chr3,NC_000003.12,98902014,98905396,+,lncRNA,,LOC105374002,uncharacterized LOC105374002,105374002
chr3,NC_000003.12,98908459,98908564,+,pseudogene,,RNU6-1263P,"RNA, U6 small nuclear 1263, pseudogene",106480653
chr3,NC_000003.12,98914566,98998841,+,lncRNA,,LINC00973,long intergenic non-protein coding RNA 973,105374003
chr3,NC_000003.12,98987387,98987449,+,snRNA,,LOC124906343,U7 small nuclear RNA,124906343
chr3,NC_000003.12,99215226,99216033,-,pseudogene,,ACTG1P13,actin gamma 1 pseudogene 13,100418920
chr3,NC_000003.12,99277847,99316255,+,lncRNA,,LOC124909399,uncharacterized LOC124909399,124909399
chr3,NC_000003.12,99316109,99329846,-,lncRNA,,LOC107986104,uncharacterized LOC107986104,107986104
chr3,NC_000003.12,99326377,99326552,-,pseudogene,,ARHGEF28P1,ARHGEF28 pseudogene 1,127379713
chr3,NC_000003.12,99329838,99337674,-,lncRNA,,LOC105374004,uncharacterized LOC105374004,105374004
chr3,NC_000003.12,99422874,99598503,-,lncRNA,,LOC105374007,uncharacterized LOC105374007,105374007
chr3,NC_000003.12,99501735,99547967,-,lncRNA,,LOC105374005,uncharacterized LOC105374005,105374005
chr3,NC_000003.12,99637368,99638680,-,lncRNA,,LOC124909401,uncharacterized LOC124909401,124909401
chr3,NC_000003.12,99638594,99799217,+,protein_coding,,COL8A1,collagen type VIII alpha 1 chain,1295
chr3,NC_000003.12,99816632,99823865,-,lncRNA,,HP09053,uncharacterized LOC101929357,101929357
chr3,NC_000003.12,99817862,100181732,+,protein_coding,,CMSS1,cms1 ribosomal small subunit homolog,84319
chr3,NC_000003.12,99817862,100041393,+,lncRNA,,LOC105374010,uncharacterized LOC105374010,105374010
chr3,NC_000003.12,99828811,100114501,-,protein_coding,,FILIP1L,filamin A interacting protein 1 like,11259
chr3,NC_000003.12,99925649,99925890,-,pseudogene,,TMEM258P2,TMEM258 pseudogene 2,100506400
chr3,NC_000003.12,99964314,99964398,-,miRNA,,MIR3921,microRNA 3921,100500859
chr3,NC_000003.12,100141631,100160704,-,lncRNA,,LOC105374009,uncharacterized LOC105374009,105374009
chr3,NC_000003.12,100185824,100194186,+,transcribed_pseudogene,,TMEM30CP,"transmembrane protein 30C, pseudogene",644444
chr3,NC_000003.12,100221283,100223858,-,pseudogene,,DUSP12P1,dual specificity phosphatase 12 pseudogene 1,100420473
chr3,NC_000003.12,100225250,100226270,+,pseudogene,,VTI1BP1,vesicle transport through interaction with t-SNAREs 1B pseudogene 1,391559
chr3,NC_000003.12,100260992,100325238,+,protein_coding,,TBC1D23,TBC1 domain family member 23,55773
chr3,NC_000003.12,100334757,100361635,+,protein_coding,,NIT2,nitrilase family member 2,56954
chr3,NC_000003.12,100363431,100401089,-,protein_coding,,TOMM70,translocase of outer mitochondrial membrane 70,9868
chr3,NC_000003.12,100401539,100456319,+,protein_coding,,LNP1,leukemia NUP98 fusion partner 1,348801
chr3,NC_000003.12,100492619,100577444,+,protein_coding,,TMEM45A,transmembrane protein 45A,55076
chr3,NC_000003.12,100609601,100695479,+,protein_coding,,ADGRG7,adhesion G protein-coupled receptor G7,84873
chr3,NC_000003.12,100664850,100665522,-,pseudogene,,GMFBP1,glia maturation factor beta pseudogene 1,100499251
chr3,NC_000003.12,100709290,100748967,+,protein_coding,,TFG,trafficking from ER to golgi regulator,10342
chr3,NC_000003.12,100749156,100993421,-,protein_coding,,ABI3BP,ABI family member 3 binding protein,25890
chr3,NC_000003.12,100786486,100800513,+,lncRNA,,LOC124906260,uncharacterized LOC124906260,124906260
chr3,NC_000003.12,100910781,100912204,-,pseudogene,,ABRAXAS1P1,ABRAXAS1 pseudogene 1,100421580
chr3,NC_000003.12,100952627,100952733,+,pseudogene,,RNU6-865P,"RNA, U6 small nuclear 865, pseudogene",106479948
chr3,NC_000003.12,101163657,101164043,+,pseudogene,,ACTR3P3,ACTR3 pseudogene 3,100128020
chr3,NC_000003.12,101201832,101201935,+,snoRNA,,LOC124906356,small nucleolar RNA U13,124906356
chr3,NC_000003.12,101222546,101320575,-,protein_coding,,IMPG2,interphotoreceptor matrix proteoglycan 2,50939
chr3,NC_000003.12,101324205,101513212,-,protein_coding,,SENP7,SUMO specific peptidase 7,57337
chr3,NC_000003.12,101357293,101358829,+,pseudogene,,ZNF90P1,zinc finger protein 90 pseudogene 1,7661
chr3,NC_000003.12,101414202,101415936,+,pseudogene,,FAM136CP,"family with sequence similarity 136 member C, pseudogene",100287852
chr3,NC_000003.12,101456985,101457846,-,pseudogene,,BTF3P16,basic transcription factor 3 pseudogene 16,643412
chr3,NC_000003.12,101502155,101502257,+,snoRNA,,LOC124906362,small nucleolar RNA U13,124906362
chr3,NC_000003.12,101518867,101523887,+,transcribed_pseudogene,,ARB2BP,"ARB2 family member B, pseudogene",131909
chr3,NC_000003.12,101561868,101566446,+,protein_coding,,TRMT10C,"tRNA methyltransferase 10C, mitochondrial RNase P subunit",54931
chr3,NC_000003.12,101574094,101594465,+,protein_coding,,PCNP,PEST proteolytic signal containing nuclear protein,57092
chr3,NC_000003.12,101576446,101576990,-,pseudogene,,RPS18P5,ribosomal protein S18 pseudogene 5,100131863
chr3,NC_000003.12,101599193,101599694,-,pseudogene,,RPL32P7,ribosomal protein L32 pseudogene 7,391560
chr3,NC_000003.12,101615826,101615928,+,pseudogene,,RNU6-1256P,"RNA, U6 small nuclear 1256, pseudogene",106480114
chr3,NC_000003.12,101648889,101677132,-,protein_coding,,ZBTB11,zinc finger and BTB domain containing 11,27107
chr3,NC_000003.12,101662065,101662164,-,pseudogene,,RNY1P12,RNY1 pseudogene 12,106480309
chr3,NC_000003.12,101676430,101679217,+,lncRNA,,ZBTB11-AS1,ZBTB11 antisense RNA 1,100009676
chr3,NC_000003.12,101676445,101703773,+,protein_coding,,LOC124906262,endogenous retrovirus group K member 5 Gag polyprotein,124906262
chr3,NC_000003.12,101681091,101686718,-,protein_coding,,RPL24,ribosomal protein L24,6152
chr3,NC_000003.12,101707321,101709474,+,lncRNA,,LOC124909402,uncharacterized LOC124909402,124909402
chr3,NC_000003.12,101712434,101713416,+,transcribed_pseudogene,,PDCL3P4,PDCL3 pseudogene 4,285359
chr3,NC_000003.12,101724614,101770562,+,protein_coding,,CEP97,centrosomal protein 97,79598
chr3,NC_000003.12,101779211,101828231,+,protein_coding,,NXPE3,neurexophilin and PC-esterase domain family member 3,91775
chr3,NC_000003.12,101827990,101861022,+,protein_coding,,NFKBIZ,NFKB inhibitor zeta,64332
chr3,NC_000003.12,101940859,101997926,+,lncRNA,,RDUR,RIG-I dependent antiviral response regulator RNA,152225
chr3,NC_000003.12,102163705,102164871,+,lncRNA,,LOC101929411,uncharacterized LOC101929411,101929411
chr3,NC_000003.12,102298857,102302869,+,lncRNA,,LOC107986105,uncharacterized LOC107986105,107986105
chr3,NC_000003.12,102385144,102479841,+,protein_coding,,ZPLD1,zona pellucida like domain containing 1,131368
chr3,NC_000003.12,102568033,102705585,-,lncRNA,,LOC105374016,uncharacterized LOC105374016,105374016
chr3,NC_000003.12,102660923,102667190,+,lncRNA,,LOC107986106,uncharacterized LOC107986106,107986106
chr3,NC_000003.12,102710845,102727620,+,lncRNA,,LOC105374017,uncharacterized LOC105374017,105374017
chr3,NC_000003.12,102755064,102755170,-,pseudogene,,RNU6-461P,"RNA, U6 small nuclear 461, pseudogene",106481897
chr3,NC_000003.12,102899999,102926058,-,lncRNA,,LOC105374018,uncharacterized LOC105374018,105374018
chr3,NC_000003.12,103159960,103160124,+,pseudogene,,RNU1-43P,"RNA, U1 small nuclear 43, pseudogene",106480159
chr3,NC_000003.12,103240913,103241398,+,pseudogene,,NDUFA4P2,NDUFA4 pseudogene 2,100287880
chr3,NC_000003.12,103524033,103524116,-,miRNA,,MIR548AB,microRNA 548ab,100616336
chr3,NC_000003.12,103538574,103539074,-,pseudogene,,SSX2IPP1,SSX2IP pseudogene 1,644681
chr3,NC_000003.12,103630661,103630912,+,pseudogene,,TUBBP11,tubulin beta class I pseudogene 11,106480745
chr3,NC_000003.12,103927174,104011740,+,lncRNA,,LOC124909491,uncharacterized LOC124909491,124909491
chr3,NC_000003.12,104062894,104065087,+,pseudogene,,RAP1BP2,RAP1B pseudogene 2,100128179
chr3,NC_000003.12,104160680,104160751,-,pseudogene,,TRE-CTC12-1,tRNA-Glu (CTC) 12-1,100189440
chr3,NC_000003.12,104280759,104287177,-,lncRNA,,LOC124909492,uncharacterized LOC124909492,124909492
chr3,NC_000003.12,104334239,104456674,-,lncRNA,,LOC105374020,uncharacterized LOC105374020,105374020
chr3,NC_000003.12,104502701,104504116,+,pseudogene,,EZRP1,EZR pseudogene 1,391562
chr3,NC_000003.12,104515268,104556073,-,lncRNA,,LOC105374021,uncharacterized LOC105374021,105374021
chr3,NC_000003.12,104630481,104909982,-,lncRNA,,LOC107986108,uncharacterized LOC107986108,107986108
chr3,NC_000003.12,104995641,105017995,+,lncRNA,,LOC105374023,uncharacterized LOC105374023,105374023
chr3,NC_000003.12,105366909,105576900,+,protein_coding,,ALCAM,activated leukocyte cell adhesion molecule,214
chr3,NC_000003.12,105438883,105451274,+,lncRNA,,LOC124906263,uncharacterized LOC124906263,124906263
chr3,NC_000003.12,105655461,105869449,-,protein_coding,,CBLB,Cbl proto-oncogene B,868
chr3,NC_000003.12,105873564,105880583,-,lncRNA,,LOC105374024,uncharacterized LOC105374024,105374024
chr3,NC_000003.12,105998472,106006671,+,lncRNA,,LOC124909403,uncharacterized LOC124909403,124909403
chr3,NC_000003.12,106060422,106070183,-,lncRNA,,LOC105374026,uncharacterized LOC105374026,105374026
chr3,NC_000003.12,106176847,106196861,+,lncRNA,,LOC105374027,uncharacterized LOC105374027,105374027
chr3,NC_000003.12,106186895,106191268,-,lncRNA,,LOC107986110,uncharacterized LOC107986110,107986110
chr3,NC_000003.12,106298884,106304271,-,lncRNA,,LOC107986112,uncharacterized LOC107986112,107986112
chr3,NC_000003.12,106378115,106632511,-,lncRNA,,LOC101929485,uncharacterized LOC101929485,101929485
chr3,NC_000003.12,106685563,106750734,-,lncRNA,,LOC105374029,uncharacterized LOC105374029,105374029
chr3,NC_000003.12,106808995,106823070,-,lncRNA,,LOC101929534,uncharacterized LOC101929534,101929534
chr3,NC_000003.12,106848648,106849344,+,pseudogene,,FCF1P3,FCF1 pseudogene 3,100128733
chr3,NC_000003.12,106877158,106881856,-,lncRNA,,LOC124906264,uncharacterized LOC124906264,124906264
chr3,NC_000003.12,106894351,106895718,-,pseudogene,,MTND4P16,MT-ND4 pseudogene 16,100873241
chr3,NC_000003.12,106895729,106896408,-,pseudogene,,MTND4LP3,MT-ND4L pseudogene 3,107075245
chr3,NC_000003.12,106896477,106896812,-,pseudogene,,MTND3P6,MT-ND3 pseudogene 6,100873182
chr3,NC_000003.12,106896891,106897671,-,pseudogene,,MTCO3P35,MT-CO3 pseudogene 35,107075287
chr3,NC_000003.12,106897671,106898268,-,pseudogene,,MTATP6P22,MT-ATP6 pseudogene 22,107075202
chr3,NC_000003.12,106898889,106900585,+,pseudogene,,MTND5P16,MT-ND5 pseudogene 16,100862854
chr3,NC_000003.12,106900593,106900855,-,pseudogene,,MTND6P6,MT-ND6 pseudogene 6,106478944
chr3,NC_000003.12,106900854,106901081,-,pseudogene,,MTCO1P35,MT-CO1 pseudogene 35,107075234
chr3,NC_000003.12,106901068,106901962,+,pseudogene,,MTND1P16,MT-ND1 pseudogene 16,100873213
chr3,NC_000003.12,106902031,106902102,-,pseudogene,,NMTRQ-TTG4-1,nuclear-encoded mitochondrial tRNA-Gln (TTG) 4-1,100189489
chr3,NC_000003.12,106902173,106902523,+,pseudogene,,MTND2P14,MT-ND2 pseudogene 14,100873223
chr3,NC_000003.12,106911931,106927874,-,lncRNA,,LOC107986021,uncharacterized LOC107986021,107986021
chr3,NC_000003.12,107007568,107007670,+,pseudogene,,RNU6-1308P,"RNA, U6 small nuclear 1308, pseudogene",106480137
chr3,NC_000003.12,107105314,107107165,-,pseudogene,,PTPN11P1,PTPN11 pseudogene 1,344593
chr3,NC_000003.12,107109790,107240638,-,lncRNA,,LINC00882,long intergenic non-protein coding RNA 882,100302640
chr3,NC_000003.12,107220507,107231498,+,lncRNA,,LOC124909404,uncharacterized LOC124909404,124909404
chr3,NC_000003.12,107240692,107326964,+,lncRNA,,DUBR,DPPA2 upstream binding RNA,344595
chr3,NC_000003.12,107327633,107329320,-,pseudogene,,CSP2,CS pseudogene 2,649024
chr3,NC_000003.12,107377439,107378635,+,protein_coding,,CCDC54,coiled-coil domain containing 54,84692
chr3,NC_000003.12,107380476,107382159,-,lncRNA,,CCDC54-AS1,CCDC54 antisense RNA 1,101929579
chr3,NC_000003.12,107430930,107463912,+,lncRNA,,LINC01990,long intergenic non-protein coding RNA 1990,101929607
chr3,NC_000003.12,107522962,107811339,+,protein_coding,,BBX,BBX high mobility group box domain containing,56987
chr3,NC_000003.12,107841662,107878068,-,lncRNA,,LINC00635,long intergenic non-protein coding RNA 635,151658
chr3,NC_000003.12,107883205,107928907,+,lncRNA,,LINC00636,long intergenic non-protein coding RNA 636,285205
chr3,NC_000003.12,108010857,108015943,-,lncRNA,,LOC124906266,uncharacterized LOC124906266,124906266
chr3,NC_000003.12,108030633,108039927,-,lncRNA,,LOC124906265,uncharacterized LOC124906265,124906265
chr3,NC_000003.12,108043091,108091031,-,protein_coding,,CD47,CD47 molecule,961
chr3,NC_000003.12,108097537,108123146,+,lncRNA,,LOC105374031,uncharacterized LOC105374031,105374031
chr3,NC_000003.12,108125064,108138610,+,lncRNA,,LINC01215,long intergenic non-protein coding RNA 1215,101929623
chr3,NC_000003.12,108160812,108222424,-,protein_coding,,IFT57,intraflagellar transport 57,55081
chr3,NC_000003.12,108222605,108224484,+,lncRNA,,LOC124909405,uncharacterized LOC124909405,124909405
chr3,NC_000003.12,108296548,108378285,+,protein_coding,,HHLA2,HHLA2 member of B7 family,11148
chr3,NC_000003.12,108325508,108326814,-,pseudogene,,HNRNPA1P17,heterogeneous nuclear ribonucleoprotein A1 pseudogene 17,100421376
chr3,NC_000003.12,108380368,108551072,-,protein_coding,,MYH15,myosin heavy chain 15,22989
chr3,NC_000003.12,108381540,108388054,+,lncRNA,,LOC124900545,uncharacterized LOC124900545,124900545
chr3,NC_000003.12,108524741,108527288,-,lncRNA,,LOC124909406,uncharacterized LOC124909406,124909406
chr3,NC_000003.12,108543374,108543875,-,pseudogene,,RPL13P8,ribosomal protein L13 pseudogene 8,100270928
chr3,NC_000003.12,108549864,108589438,-,protein_coding,,CIP2A,cellular inhibitor of PP2A,57650
chr3,NC_000003.12,108574565,108574698,+,snoRNA,,LOC124900556,small nucleolar RNA SNORA70,124900556
chr3,NC_000003.12,108589510,108694840,+,protein_coding,,DZIP3,DAZ interacting zinc finger protein 3,9666
chr3,NC_000003.12,108713549,108727630,-,lncRNA,,LOC105374033,uncharacterized LOC105374033,105374033
chr3,NC_000003.12,108742489,108748262,-,lncRNA,,LOC105374034,uncharacterized LOC105374034,105374034
chr3,NC_000003.12,108755638,108757410,-,protein_coding,,RETNLB,resistin like beta,84666
chr3,NC_000003.12,108822786,108855005,+,protein_coding,,TRAT1,T cell receptor associated transmembrane adaptor 1,50852
chr3,NC_000003.12,108907792,108955195,-,protein_coding,,GUCA1C,guanylate cyclase activator 1C,9626
chr3,NC_000003.12,108958248,109118134,-,protein_coding,,MORC1,MORC family CW-type zinc finger 1,27136
chr3,NC_000003.12,109018909,109019116,-,snoRNA,,LOC124906382,small nucleolar RNA U3,124906382
chr3,NC_000003.12,109101456,109110340,+,lncRNA,,MORC1-AS1,MORC1 antisense RNA 1,100506506
chr3,NC_000003.12,109136719,109151401,+,protein_coding,,C3orf85,chromosome 3 open reading frame 85,401081
chr3,NC_000003.12,109178165,109185261,+,lncRNA,,LINC00488,long intergenic non-protein coding RNA 488,677779
chr3,NC_000003.12,109225129,109225227,+,pseudogene,,RNU6-1236P,"RNA, U6 small nuclear 1236, pseudogene",106481570
chr3,NC_000003.12,109241507,109243160,+,pseudogene,,BRD7P7,BRD7 pseudogene 7,100419877
chr3,NC_000003.12,109293788,109316517,-,protein_coding,,DPPA2,developmental pluripotency associated 2,151871
chr3,NC_000003.12,109326144,109339636,-,protein_coding,,DPPA4,developmental pluripotency associated 4,55211
chr3,NC_000003.12,109396497,109397293,+,pseudogene,,RLIG1P2,RLIG1 pseudogene 2,100129989
chr3,NC_000003.12,109408516,109410202,-,pseudogene,,H3P12,H3 histone pseudogene 12,100689229
chr3,NC_000003.12,109409990,109495167,+,lncRNA,,LINC01205,long intergenic non-protein coding RNA 1205,401082
chr3,NC_000003.12,109471120,109471857,-,pseudogene,,PPIAP15,peptidylprolyl isomerase A pseudogene 15,5487
chr3,NC_000003.12,109602828,109602897,+,miRNA,,MIR4445,microRNA 4445,100616129
chr3,NC_000003.12,109648024,109836157,+,lncRNA,,LOC124906267,uncharacterized LOC124906267,124906267
chr3,NC_000003.12,109701490,109702295,-,pseudogene,,DIMT1P1,DIM1 dimethyladenosine transferase 1 homolog pseudogene 1,100422385
chr3,NC_000003.12,109915784,109917068,-,pseudogene,,NFYBP1,NFYB pseudogene 1,440973
chr3,NC_000003.12,109977540,109977767,-,pseudogene,,ZFAND2AP1,ZFAND2A pseudogene 1,127379714
chr3,NC_000003.12,110447235,110471656,+,lncRNA,,LOC105374036,uncharacterized LOC105374036,105374036
chr3,NC_000003.12,110551845,110551965,-,pseudogene,,RNU6ATAC15P,"RNA, U6atac small nuclear 15, pseudogene",106481867
chr3,NC_000003.12,110554733,110667293,-,lncRNA,,LOC105374037,uncharacterized LOC105374037,105374037
chr3,NC_000003.12,110682216,110683230,-,pseudogene,,RPSAP29,ribosomal protein SA pseudogene 29,389141
chr3,NC_000003.12,110888144,111071766,-,lncRNA,,LOC151760,putative uncharacterized protein LOC151760,151760
chr3,NC_000003.12,111045315,111069959,-,lncRNA,,NECTIN3-AS1,NECTIN3 antisense RNA 1,100506555
chr3,NC_000003.12,111071816,111194170,+,protein_coding,,NECTIN3,nectin cell adhesion molecule 3,25945
chr3,NC_000003.12,111222574,111228756,+,lncRNA,,LOC124909493,uncharacterized LOC124909493,124909493
chr3,NC_000003.12,111269139,111275634,+,lncRNA,,LOC105374038,uncharacterized LOC105374038,105374038
chr3,NC_000003.12,111364517,111542003,+,lncRNA,,LOC105374039,uncharacterized LOC105374039,105374039
chr3,NC_000003.12,111478745,111479127,+,pseudogene,,ATP6V0CP2,ATPase H+ transporting V0 subunit c pseudogene 2,106478961
